no,name,location,menu,visited,price,preference,revisit,tags,photo,card_type,review,visit_count,visit_cycle,revisit_reason,menu_price,menu2,menu2_price,menu3,menu3_price,nearby_station,walk_min,naver_map,rec_situation,taste_star,vibe_star,access_star,value_star
1,라뚜셩트,서초구 방배동,"조각케이크, 빙수",TRUE,5,3,TRUE,디저트,,cake,방배동 골목 깊숙이 숨어있는데 찾아갈 만한 곳,2,비정기,계절 빙수 바뀔 때마다 생각남,8500,빙수,14000,,, 방배역,7분,https://naver.me/example01,데이트|혼카페,4,5,3,3
2,이미커피,마포구 동교동,"시즌디저트, 페어링 커피",TRUE,5,5,TRUE,커피,,legendary,매번 올 때마다 메뉴가 달라서 매번 새로운 느낌,5,월 1회,시즌 메뉴 보러 꼭 다시 옴,18000,페어링 커피,22000,시즌 케이크,16000,홍대입구역,12분,https://naver.me/example02,데이트|선물,5,5,4,3
3,떼헤브,강서구 마곡동,"케이크, 구움과자",TRUE,5,4,TRUE,디저트,,legendary,구움과자 하나하나에 정성이 느껴지는 곳,,,,,,,,,마곡나루역,8분,https://naver.me/example03,선물|데이트,,,, 
4,얼스어스,종로구 청운동,요거트케이크,FALSE,3,0,,디저트,,cake,청운동 산책길에 꼭 들르고 싶은 요거트케이크 맛집,,,,9500,음료,6000,,,경복궁역,15분,https://naver.me/example04,혼카페|데이트,,,, 
5,넬리슨,종로구 운니동,멜로케이크,FALSE,2,0,,디저트,,cake,멜로케이크라는 이름부터 설레는 종로 카페,,,,7000,음료,5500,,,안국역,10분,https://naver.me/example05,혼카페|데이트,,,, 
6,인라이크,강서구 마곡동,조각케이크,FALSE,3,0,,디저트,,cake,마곡에 이런 케이크 카페가 있다니 빨리 가봐야 해,,,,9000,음료,6000,,,마곡나루역,5분,https://naver.me/example06,혼카페|데이트,,,, 
7,포포민즈낫띵,서초구 방배동,"쁘띠갸또, 구움과자",FALSE,3,0,,디저트,포포민즈낫띵.png,baked,이름도 귀엽고 메뉴도 귀여운 방배동 구움과자 카페,,,,11000,구움과자,8000,,,방배역,5분,https://naver.me/example07,선물|데이트,,,, 
8,여기인가,종로구 통인동,"에이드, 티",FALSE,2,0,,음료,,other,통인동 골목 어딘가에서 조용히 차 한 잔,,,,6500,티,7000,,,경복궁역,12분,https://naver.me/example08,혼카페|작업,,,, 
9,프레베리,강서구 마곡동,과일 생크림 케이크,FALSE,3,0,,디저트,,cake,계절 과일이 올라간 생크림 케이크가 궁금한 곳,,,,10000,음료,6000,,,마곡나루역,6분,https://naver.me/example09,데이트|선물,,,, 
10,일련 로스터스,마포구 연남동,"커피, 파운드 케이크",FALSE,4,0,,"디저트,커피",,cake,연남동에서 커피 진지하게 마시고 싶을 때,,,,7000,파운드 케이크,6500,,,홍대입구역,10분,https://naver.me/example10,작업|혼카페,,,, 
11,턴다운서비스,마포구 연남동,"아이스크림, 커피, 타르트",FALSE,3,0,,"디저트,커피",,coffee,이름처럼 하루 마무리에 딱 어울릴 것 같은 카페,,,,8000,타르트,7500,,,홍대입구역,12분,https://naver.me/example11,데이트|혼카페,,,, 
12,치플레,마포구 연남동,수플레 치즈케이크,TRUE,4,4,TRUE,디저트,,legendary,수플레 치즈케이크가 테이블에 오는 순간 사진부터 찍게 됨,2,비정기,수플레가 너무 맛있어서 또 오고 싶음,13000,음료,7000,,,홍대입구역,15분,https://naver.me/example12,데이트|선물,5,4,3,4
13,브라운하우스연남,마포구 연남동,"커피, 치즈케이크",TRUE,4,3,TRUE,"디저트,커피",,cake,연남동에서 오래 앉아 있고 싶을 때 생각나는 곳,3,월 1회,오래 앉기 좋고 커피가 맛있음,8000,치즈케이크,9000,,,홍대입구역,13분,https://naver.me/example13,작업|혼카페,4,4,4,4
14,아도티하우스,영등포구 문래동,티,FALSE,4,0,,음료,,other,문래 산업단지 분위기와 티 향이 묘하게 어울릴 것 같은 카페,,,,10000,티 세트,18000,,,문래역,7분,https://naver.me/example14,데이트|혼카페,,,, 
15,문래 마이스페이스,영등포구 문래동,"구움과자, 케이크",FALSE,3,0,,디저트,,cake,문래 감성에 구움과자라니 분위기 맛집일 것 같아,,,,9000,음료,6000,,,문래역,8분,https://naver.me/example15,혼카페|데이트,,,, 
16,하태제과,영등포구 당산동,"두쫀쿠, 크림브륄레",FALSE,2,0,,디저트,하태제과.jpeg,baked,두쫀쿠가 뭔지 몰라도 일단 먹어보고 싶음,,,,7000,크림브륄레,8000,,,당산역,8분,https://naver.me/example16,혼카페|데이트,,,, 
17,포엣룸,영등포구 문래동,"커피, 디저트",FALSE,3,0,,커피,,coffee,시 읽으면서 커피 마시기 딱 좋을 이름의 카페,,,,6500,디저트,7000,,,문래역,5분,https://naver.me/example17,작업|혼카페,,,, 
18,스마스커피,영등포구 문래동,"커피, 디저트, 베이글",FALSE,3,0,,"커피,베이커리",,coffee,베이글에 커피까지 문래 작업하기 좋은 카페,,,,6000,베이글,4500,,,문래역,6분,https://naver.me/example18,작업|혼카페,,,, 
19,슬롯 문래,영등포구 문래동,프렌치 토스트,FALSE,4,0,,베이커리,,other,문래 철공소 골목에서 먹는 프렌치 토스트라니 궁금해,,,,12000,음료,7000,,,문래역,9분,https://naver.me/example19,데이트|혼카페,,,, 
20,노버든,영등포구 당산동,"라떼, 치즈케이크",FALSE,3,0,,"디저트,음료",,cake,부담 없이 라떼 한 잔 마시기 좋을 것 같은 동네 카페,,,,7500,치즈케이크,8000,,,당산역,6분,https://naver.me/example20,혼카페|작업,,,, 
21,부클레,용산구 한강로동,"커피, 케이크",FALSE,3,0,,"디저트,커피",,cake,용산 한강 근처에서 케이크 한 조각 먹고 싶다면,,,,8500,음료,6500,,,삼각지역,10분,https://naver.me/example21,데이트|혼카페,,,, 
22,레뽀드라라 용산본점,용산구 한강로동,"스콘, 에그타르트",FALSE,2,0,,"디저트,베이커리",,baked,이름이 발음하기 어렵지만 스콘은 맛있을 것 같음,,,,7000,에그타르트,4500,,,삼각지역,8분,https://naver.me/example22,혼카페|작업,,,, 
23,파이인더샵 용산점,용산구 한강로동,"케이크, 파이",FALSE,4,0,,디저트,,cake,파이 전문 카페라는 것 자체가 이미 가야 하는 이유,,,,11000,파이,9000,,,삼각지역,7분,https://naver.me/example23,데이트|선물,,,, 
24,더닝 용산,용산구 한강로동,과일 생크림 케이크,FALSE,5,0,,디저트,,cake,비주얼부터 화려할 것 같은 용산의 과일 케이크 맛집,,,,15000,음료,7000,,,삼각지역,9분,https://naver.me/example24,데이트|선물,,,, 
25,피롤츠 커피하우스 용산점,용산구 한강로동,"커피, 티, 푸딩",FALSE,4,0,,"디저트,커피,음료",,coffee,커피도 티도 푸딩도 다 된다니 선택지가 너무 많아서 좋아,,,,8000,푸딩,6000,,,삼각지역,5분,https://naver.me/example25,혼카페|작업,,,, 
26,레프커피,강서구 마곡동,"커피, 말렌카 케이크",TRUE,3,4,TRUE,"디저트,커피",,legendary,말렌카 케이크는 다른 곳에서 쉽게 못 보는 특별한 메뉴,2,비정기,말렌카 케이크 때문에 다시 옴,9000,말렌카 케이크,12000,,,마곡나루역,4분,https://naver.me/example26,혼카페|작업,4,3,5,5
27,카페인풀 마곡나루,강서구 마곡동,"커피, 에그타르트",FALSE,2,0,,"디저트,커피",,coffee,출근길 마곡나루 역 근처에서 가볍게 한 잔 하기 좋을 것 같아,,,,5500,에그타르트,3500,,,마곡나루역,2분,https://naver.me/example27,혼카페|작업,,,, 
28,소복소복,강서구 마곡동,빙수,TRUE,4,3,TRUE,디저트,,other,여름에 빙수 생각날 때 제일 먼저 떠오르는 곳,4,여름마다,여름 시즌 한정 빙수가 너무 맛있음,13000,팥빙수,11000,,,마곡나루역,6분,https://naver.me/example28,데이트|혼카페,3,4,4,4
29,타르데마 베이커리 마곡나루,강서구 마곡동,베이커리,FALSE,3,0,,베이커리,,bakery,마곡 출퇴근길에 사 가기 딱 좋을 것 같은 베이커리,,,,5000,크루아상,4000,,,마곡나루역,3분,https://naver.me/example29,혼카페|작업,,,, 
30,코히야,강서구 마곡동,"커피, 메론빵",TRUE,2,3,FALSE,"커피,베이커리",,coffee,메론빵은 맛있었는데 전체적으로 기대보다는 아쉬웠음,1,재방문 안함,분위기가 기대와 달랐음,5500,메론빵,3500,,,마곡나루역,5분,https://naver.me/example30,혼카페,3,2,4,4
31,카페드크래프트 마곡나루점,강서구 마곡동,베이커리,FALSE,3,0,,베이커리,,bakery,크래프트라는 이름처럼 정성 들인 베이커리일 것 같아,,,,6000,음료,5500,,,마곡나루역,4분,https://naver.me/example31,혼카페|작업,,,, 
32,코모레비,강서구 마곡동,"커피, 티라미수",FALSE,3,0,,"커피,음료",,coffee,코모레비 뜻처럼 햇살 드는 창가에서 티라미수 먹고 싶다,,,,7000,티라미수,8500,,,마곡나루역,7분,https://naver.me/example32,혼카페|데이트,,,, 
33,라크레마,강서구 마곡동,"젤라또, 베이커리",FALSE,3,0,,"디저트,베이커리",,bakery,여름 한 철 마곡에서 젤라또로 더위 날릴 수 있는 곳,,,,6000,젤라또 2스쿱,8000,,,마곡나루역,5분,https://naver.me/example33,혼카페|데이트,,,, 
34,베니르,강서구 마곡동,글루텐프리 디저트,FALSE,3,0,,"케이크, 음료",,cake,글루텐프리인데 맛있다면 진짜 대단한 곳,,,,10000,음료,6500,,,마곡나루역,6분,https://naver.me/example34,혼카페|데이트,,,, 
35,마곡 카페 디프커피,강서구 마곡동,"커피, 푸딩, 디저트",FALSE,3,0,,"디저트,커피",,coffee,커피에 푸딩까지 마곡 디저트 카페 중 숨은 보석일 것 같아,,,,6500,푸딩,5000,,,마곡나루역,5분,https://naver.me/example35,혼카페|작업,,,, 
36,베이글리스트,강서구 마곡동,베이글,TRUE,3,2,TRUE,베이커리,,bakery,베이글 종류가 다양한 건 좋았는데 취향 저격은 아니었음,1,비정기,베이글 종류가 다양한 건 좋았음,4500,크림치즈 베이글,5500,,,마곡나루역,4분,https://naver.me/example36,혼카페|작업,3,3,5,4
37,피에르떼,강서구 마곡동,"쁘띠갸또, 케이크",FALSE,4,0,,디저트,,cake,쁘띠갸또 전문점이라니 선물 사러 꼭 한번 가봐야겠어,,,,13000,케이크,11000,,,마곡나루역,5분,https://naver.me/example37,데이트|선물,,,, 
38,카페가토,강서구 마곡동,"커피, 케이크",TRUE,4,3,TRUE,"디저트,커피",,cake,케이크 비주얼이 예뻐서 사진 찍고 싶어지는 곳,2,비정기,케이크 비주얼이 예쁘고 커피도 괜찮음,9500,케이크,11000,,,마곡나루역,6분,https://naver.me/example38,데이트|혼카페,4,4,5,3
39,나따오비까 마곡점,강서구 마곡동,타르트,FALSE,2,0,,디저트,,baked,나따오비까라는 이름이 귀여운 타르트 전문점,,,,7000,음료,5500,,,마곡나루역,5분,https://naver.me/example39,혼카페|데이트,,,, 
40,레어레빗,강서구 화곡동,"음료, 디저트",FALSE,4,0,,음료,,other,토끼 컨셉이라니 인테리어부터 보고 싶어지는 카페,,,,8000,디저트,9000,,,화곡역,10분,https://naver.me/example40,데이트|혼카페,,,, 
